date,product_id,product_name,category,warehouse,region,beginning_inventory,current_inventory,daily_sales,units_sold,lost_sales,inventory_received,supplier_lead_time,reorder_point,unit_price,discount,promotion,day_of_week,month,season,demand_forecast,stockout_event
2024-01-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,780,741,39,39,0,0,16,746,6.31,0.0,0,Monday,1,Winter,45.81,0
2024-01-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,741,696,45,45,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,36.22,0
2024-01-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,696,660,36,36,0,0,13,746,6.31,0.0,0,Wednesday,1,Winter,40.93,0
2024-01-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,660,606,54,54,0,0,13,746,6.31,0.0,0,Thursday,1,Winter,49.37,0
2024-01-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,606,572,34,34,0,0,17,746,6.31,0.0,0,Friday,1,Winter,46.98,0
2024-01-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,572,514,58,58,0,0,13,746,6.31,0.0,0,Saturday,1,Winter,46.72,0
2024-01-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,514,472,42,42,0,0,13,746,6.31,0.0,0,Sunday,1,Winter,51.82,0
2024-01-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,472,427,45,45,0,0,13,746,6.31,0.0,0,Monday,1,Winter,47.84,0
2024-01-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,427,380,47,47,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,45.87,0
2024-01-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,380,339,41,41,0,0,15,746,6.31,0.0,0,Wednesday,1,Winter,44.74,0
2024-01-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,339,299,40,40,0,0,13,746,6.31,0.0,0,Thursday,1,Winter,37.94,0
2024-01-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,299,260,39,39,0,0,13,746,6.31,0.0,0,Friday,1,Winter,45.1,0
2024-01-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,260,205,55,55,0,0,13,746,6.31,0.0,0,Saturday,1,Winter,57.56,0
2024-01-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,205,144,61,61,0,0,13,746,6.31,0.0,0,Sunday,1,Winter,55.03,0
2024-01-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,144,98,46,46,0,0,13,746,6.31,0.0,0,Monday,1,Winter,42.71,0
2024-01-16,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,98,49,49,49,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,39.03,0
2024-01-17,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,795,755,40,40,0,746,13,746,6.31,0.0,0,Wednesday,1,Winter,49.85,0
2024-01-18,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,755,720,35,35,0,0,15,746,6.31,0.0,0,Thursday,1,Winter,37.87,0
2024-01-19,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,720,672,48,48,0,0,13,746,6.31,0.0,0,Friday,1,Winter,46.97,0
2024-01-20,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,672,607,65,65,0,0,18,746,6.31,0.0,0,Saturday,1,Winter,57.08,0
2024-01-21,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,607,549,58,58,0,0,13,746,6.31,0.0,0,Sunday,1,Winter,58.73,0
2024-01-22,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,549,506,43,43,0,0,13,746,6.31,0.0,0,Monday,1,Winter,49.43,0
2024-01-23,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,506,451,55,55,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,50.69,0
2024-01-24,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,451,396,55,55,0,0,13,746,6.31,0.0,0,Wednesday,1,Winter,48.84,0
2024-01-25,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,396,368,28,28,0,0,13,746,6.31,0.0,0,Thursday,1,Winter,41.81,0
2024-01-26,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,368,311,57,57,0,0,13,746,6.31,0.25,1,Friday,1,Winter,65.23,0
2024-01-27,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,311,252,59,59,0,0,13,746,6.31,0.0,0,Saturday,1,Winter,53.27,0
2024-01-28,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,252,209,43,43,0,0,13,746,6.31,0.0,0,Sunday,1,Winter,51.66,0
2024-01-29,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,209,158,51,51,0,0,13,746,6.31,0.0,0,Monday,1,Winter,45.05,0
2024-01-30,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,158,105,53,53,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,43.18,0
2024-01-31,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,105,61,44,44,0,0,13,746,6.31,0.0,0,Wednesday,1,Winter,41.42,0
2024-02-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,61,0,69,61,8,0,13,746,6.31,0.25,1,Thursday,2,Winter,63.57,1
2024-02-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,746,704,42,42,0,746,18,746,6.31,0.0,0,Friday,2,Winter,36.31,0
2024-02-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,704,643,61,61,0,0,13,746,6.31,0.0,0,Saturday,2,Winter,49.86,0
