date,product_id,product_name,category,warehouse,region,beginning_inventory,current_inventory,daily_sales,units_sold,lost_sales,inventory_received,supplier_lead_time,reorder_point,unit_price,discount,promotion,day_of_week,month,season,demand_forecast,stockout_event,sales_rolling_mean_7_days,sales_rolling_mean_30_days,inventory_to_demand_ratio,days_of_inventory_remaining,demand_growth_rate,inventory_change,lead_time_demand,safety_stock_gap,reorder_risk,promotion_demand_change,historical_stockout_rate,stockout_within_next_7_days
2024-01-01,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,780,741,39,39,0,0,16,746,6.31,0.0,0,Monday,1,Winter,45.81,0,,,16.175507531106746,16.175507531106746,0.0,0.0,732.96,8.039999999999964,1,0.0,0.0,0
2024-01-02,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,741,696,45,45,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,36.22,0,,,19.215902816123688,19.215902816123688,0.0,-45.0,470.86,225.14,1,0.0,0.0,0
2024-01-03,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,696,660,36,36,0,0,13,746,6.31,0.0,0,Wednesday,1,Winter,40.93,0,,,16.12509161983875,16.12509161983875,0.0,-36.0,532.09,127.90999999999997,1,0.0,0.0,0
2024-01-04,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,660,606,54,54,0,0,13,746,6.31,0.0,0,Thursday,1,Winter,49.37,0,40.0,,15.15,15.15,0.0,-54.0,520.0,86.0,1,0.0,0.0,0
2024-01-05,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,606,572,34,34,0,0,17,746,6.31,0.0,0,Friday,1,Winter,46.98,0,43.5,,13.149425287356323,13.149425287356323,0.0,-34.0,739.5,-167.5,1,0.0,0.0,0
2024-01-06,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,572,514,58,58,0,0,13,746,6.31,0.0,0,Saturday,1,Winter,46.72,0,41.6,,12.35576923076923,12.35576923076923,0.0,-58.0,540.8000000000001,-26.800000000000068,1,0.0,0.0,0
2024-01-07,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,514,472,42,42,0,0,13,746,6.31,0.0,0,Sunday,1,Winter,51.82,0,44.333333333333336,,10.646616541353383,10.646616541353383,0.0,-42.0,576.3333333333334,-104.33333333333337,1,0.0,0.0,0
2024-01-08,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,472,427,45,45,0,0,13,746,6.31,0.0,0,Monday,1,Winter,47.84,0,44.0,44.0,9.704545454545455,9.704545454545455,0.0,-45.0,572.0,-145.0,1,0.0,0.0,0
2024-01-09,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,427,380,47,47,0,0,13,746,6.31,0.0,0,Tuesday,1,Winter,45.87,0,44.857142857142854,44.125,8.471337579617835,8.471337579617835,0.016592472683124172,-47.0,583.1428571428571,-203.1428571428571,1,0.0,0.0,0
2024-01-10,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,380,339,41,41,0,0,15,746,6.31,0.0,0,Wednesday,1,Winter,44.74,0,45.142857142857146,44.44444444444444,7.5094936708860756,7.5094936708860756,0.01571428571428582,-41.0,677.1428571428572,-338.1428571428572,1,0.0,0.0,0
2024-01-11,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,339,299,40,40,0,0,13,746,6.31,0.0,0,Thursday,1,Winter,37.94,0,45.857142857142854,44.1,6.520249221183801,6.520249221183801,0.03984450923226423,-40.0,596.1428571428571,-297.1428571428571,1,0.0,0.0,0
2024-01-12,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,299,260,39,39,0,0,13,746,6.31,0.0,0,Friday,1,Winter,45.1,0,43.857142857142854,43.72727272727273,5.928338762214984,5.928338762214984,0.002970002970002915,-39.0,570.1428571428571,-310.1428571428571,1,0.0,0.0,0
2024-01-13,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,260,205,55,55,0,0,13,746,6.31,0.0,0,Saturday,1,Winter,57.56,0,44.57142857142857,43.333333333333336,4.5993589743589745,4.5993589743589745,0.02857142857142847,-55.0,579.4285714285714,-374.42857142857144,1,0.0,0.0,0
2024-01-14,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,205,144,61,61,0,0,13,746,6.31,0.0,0,Sunday,1,Winter,55.03,0,44.142857142857146,44.23076923076923,3.262135922330097,3.262135922330097,-0.0019875776397515455,-61.0,573.8571428571429,-429.8571428571429,1,0.0,0.0,0
2024-01-15,P0001,Protein Bar 1,Grocery,Bengaluru DC,South,144,98,46,46,0,0,13,746,6.31,0.0,0,Monday,1,Winter,42.71,0,46.857142857142854,45.42857142857143,2.0914634146341466,2.0914634146341466,0.031446540880503034,-46.0,609.1428571428571,-511.1428571428571,1,0.0,0.0,0
